context;importance;human;response;input_tokens;output_tokens
"En relación con la Propiedad Industrial y con el fin de aproximarnos a una definición de los Signos Distintivos, encontramos, en primer lugar, que la Real Academia Española (RAE) define un “signo” como: “objeto, fenómeno o acción material que, por naturaleza o convención, representa o sustituye a otro”1, en este sentido, debemos entender que este término, en esencia, refiere a cualquier objeto o medio que pueda emplearse para representar o comunicar un mensaje determinado.

De otra parte, el término “distintivo”, se define por la misma RAE, como algo “que tiene la capacidad de distinguir”2 y “distinguir” corresponde a “hacer que algo se diferencie de otra cosa por medio de alguna particularidad, señal, divisa, etc.”3";Alta;"Qué término define la Real Academia Española como ""algo que tiene la capacidad de distinguir""?";"El término es ""distintivo"".";30;11
"En este orden de ideas, podríamos entonces, con base en los significados previamente obtenidos, realizar la siguiente propuesta de definición de los “signos distintivos”, como los medios empleados para diferenciar un producto, un servicio, una actividad o un establecimiento de otro.

Existen diversas definiciones que son concurrentes sobre signos distintivos4 pero, generalmente, se coincide en que son todas aquellas palabras, letras, símbolos, colores, diseños, figuras u otros elementos que sirven para distinguir productos, servicios o actividades económicas de otros semejantes, permitiendo que el consumidor identifique el origen empresarial de los mismos en el comercio.";Alta;Qué elementos pueden ser utilizados como signos distintivos para diferenciar un producto o servicio de otro similar?;"Según la información proporcionada, los siguientes elementos pueden ser utilizados como signos distintivos para diferenciar un producto o servicio de otro similar:

* Palabras
* Letras
* Símbolos
* Colores
* Diseños
* Figuras
* Otros elementos";36;87
"“Artículo 134.- A efectos de este régimen constituirá marca cualquier signo que sea apto para distinguir productos o servicios en el mercado. Podrán registrarse como marcas los signos susceptibles de representación gráfica. La naturaleza del producto o servicio al cual se ha de aplicar una marca en ningún caso será obstáculo para su registro. (…)”.

Del precepto legal citado, se obtiene, como primer punto, que la marca en la CAN, debe contar con aptitud distintiva. En términos del TJCA:

6 Es importante referir que, a diferencia del concepto de signos distintivos, el término “marca” sí cuenta con";Alta;Qué tipo de signos son susceptibles de representación gráfica y pueden registrarse como marcas?;Los signos susceptibles de representación gráfica.;30;14
"definición en la mayoría de los países que disponen de sistemas de protección de propiedad intelectual, esto es, como signos que distinguen productos o servicios; sin embargo, pese a los grandes esfuerzos que año tras año se realizan a efecto de mantener armonizado el sistema a nivel internacional, el alcance de la definición de marca puede variar según el contexto legal y cultural.

Algunos instrumentos internacionales en materia de marcas, contienen definiciones o referencias que nos aportan elementos para inferir en qué consiste una marca.";Alta;Se considera un signo distintivo como marca si tiene un alcance específico según el contexto legal y cultural?;Sí, se considera un signo distintivo como marca si tiene un alcance específico según el contexto legal y cultural. Esto es debido a que la definición de marca puede variar según el país y las leyes locales, lo que implica que un signo distintivo puede ser considerado como marca en ciertos contextos pero no en otros.;36;107
"A título de ejemplo, el Acuerdo ADPIC (Acuerdo sobre los Aspectos de los Derechos de Propiedad Intelectual relacionados con el Comercio), señala en su artículo 15, apartado 1, que: “Podrá constituir una marca de fábrica o de comercio cualquier signo o combinación de signos que sean capaces de distinguir los bienes o servicios de una empresa de los de otras empresas”.

Existen otros instrumentos internacionales que, si bien no definen propiamente el término, sí establecen con claridad cuáles son las bases mínimas de protección a que se someten las partes, estados miembros del Tratado o Acuerdo internacional; como lo es el Convenio de París para la Protección de la Propiedad Industrial.";Alta;Qué constituye una marca de fábrica o de comercio según el artículo 15, apartado 1 del Acuerdo ADPIC?;Según el artículo 15, apartado 1 del Acuerdo ADPIC, cualquier signo o combinación de signos que sean capaces de distinguir los bienes o servicios de una empresa de los de otras empresas puede constituir una marca de fábrica o de comercio.;41;85
"De manera que podemos concluir que en todos los sistemas y pese a las diferencias en la redacción o la forma, el fondo es el mismo: una marca es un signo que se emplea en el comercio para distinguir productos o servicios.

8

“[a)] La distintividad es la capacidad intrínseca que debe tener el signo para identificar por sí mismo un producto o servicio; y, la capacidad extrínseca para distinguir unos productos o servicios de otros en el mercado. El carácter distintivo del signo le permite al consumidor realizar la elección de los productos y servicios que desea adquirir. Del mismo modo, le permite a su titular diferenciar sus productos y servicios de otros similares que se ofertan en el mercado” 7.";Alta;Qué capacidad intrínseca debe tener un signo para identificar por sí solo un producto o servicio?;La capacidad intrínseca que debe tener un signo es la distintividad. Esto significa que el signo debe ser capaz de identificar por sí mismo un producto o servicio, y no necesita estar asociado con otros elementos para lograr esta distinción. En otras palabras, el signo debe ser lo suficientemente único y característico como para permitir al consumidor reconocerlo e identificar el producto o servicio que representa.;30;133
Adicionalmente, la misma disposición supedita el registro a que los signos puedan ser representados gráficamente, requisito que se refiere, según el TJCA, a la aptitud que posee un signo de ser descrito o reproducido en palabras, imágenes, fórmulas u otros soportes, es decir, en algo perceptible para ser captado por el público consumidor8.;Alta;Qué tipo de representación gráfica se requiere para que los signos puedan ser registrados como patentes?;La representación gráfica requerida para registrar signos como patentes es la aptitud del signo para ser descrito o reproducido en palabras, imágenes, fórmulas u otros soportes perceptibles por el público consumidor. Esto significa que los signos deben poder ser visualizados o comprendidos de alguna manera para ser registrados.;32;102
Para marcas sonoras, por ejemplo, la representación gráfica se puede cumplir a través de las notas y espacios especificados en un pentagrama, si se trata de una melodía, o mediante la presentación de un sonograma o espectrograma en el caso de otros sonidos, sin perjuicio de que las oficinas nacionales también puedan requerir que la representación de este tipo de marcas consista en una grabación analógica o digital. Más adelante, en el apartado dedicado al examen de forma, se tratará con detalle la representación gráfica de este y otros tipos de marca.;Alta;Cómo se puede cumplir la representación gráfica para marcas sonoras?;La representación gráfica para marcas sonoras puede cumplirse a través de las notas y espacios especificados en un pentagrama, si se trata de una melodía. Además, también se puede presentar mediante el uso de un sonograma o espectrograma. Es importante destacar que las oficinas nacionales pueden requerir que la representación consista en una grabación analógica o digital.;24;125
Finalmente, en la última parte del precepto legal se precisa que el registro de las marcas no depende de la naturaleza del producto o servicio de que se trate, la posibilidad de registro dependerá en todo caso, del cumplimiento de los requisitos legales sine quanon es decir, que el signo debe reunir los requisitos previstos por la norma, además de no incurrir en alguna de las causales de irregistrabilidad previstas en la DA 486.;Alta;Requiere un producto o servicio cumplir con ciertos requisitos legales para ser registrado como marca?;Sí, según el contexto proporcionado, un producto o servicio debe cumplir con ciertos requisitos legales para ser registrado como marca. Esto se debe a que el registro de las marcas no depende de la naturaleza del producto o servicio en sí mismo, sino más bien del cumplimiento de los requisitos legales establecidos por la norma y la ausencia de alguna causal de irregistrabilidad prevista en la DA 486.;32;137
"Ahora bien, en cuanto a los requisitos de registrabilidad de un signo como marca, cabe mencionar también la perceptibilidad, que, si bien no está expresamente incluida en los términos del artículo 134 citado, sí se encuentra implícita en la noción de marca. A propósito de la perceptibilidad, ha manifestado el TJCA que esta “hace referencia a todo elemento, signo o indicación que pueda ser captado por los sentidos para que, por medio de estos, la marca penetre en la mente del público, el cual la asimila con facilidad” 9. En otros términos, la marca tiene que ser perceptible por los sentidos para que a través de estos pueda ser identificada por el consumidor.

9

	Clasificación de los tipos de marcas.";Alta;Qué se entiende por perceptibilidad en relación con un signo como marca?;La perceptibilidad en relación con un signo como marca hace referencia a todo elemento, signo o indicación que pueda ser captado por los sentidos para que, por medio de estos, la marca penetre en la mente del público, el cual la asimila con facilidad.;24;84
"10

componen exclusivamente de (i) las palabras o combinación de palabras, (ii) las letras,

(iii) los números o (iv) la combinación de los anteriores elementos.

Como característica principal, estas marcas pueden leerse y pronunciarse, ser recordadas por el público consumidor al ser escuchadas y son probablemente las marcas más sencillas de representar, como se puede ver con los siguientes ejemplos:

	Palabras	NIKE

	Combinación de Palabras	HEAD & SHOULDERS

	Letras	DHL

	Números	747

	Combinación de los elementos anteriores	212 BY CAROLINA HERRERA

También se consideran como denominativas las marcas compuestas, que están integradas por dos o más palabras, con o sin significado conceptual10, por ejemplo:

SANTA ANA INCA KOLA";Alta;Qué tipo de elementos pueden componer una marca denominativa?;"Las marcas denominativas pueden estar compuestas por dos o más palabras, con o sin significado conceptual. Estas palabras pueden ser cualquier combinación de las siguientes opciones:

*   Palabras
*   Combinación de palabras
*   Letras
*   Números
*   Combinación de los elementos anteriores";20;109
"SANTA ANA INCA KOLA

Para la CAN, suelen considerarse como marcas denominativas aquellos signos con caracteres latinos que correspondan a los usados en el lenguaje habitual o estándar en el país.

Nótese que la protección que otorga el registro de la marca denominativa generalmente no versa sobre cómo se aprecia el elemento denominativo gráficamente, sino en cómo se lee, se pronuncia y en la connotación, significado o sentido de que dota al producto o servicio al que se aplica.

Lo anterior, permite formular algunos criterios generales que debería cumplir la representación gráfica de una marca denominativa.

	En la solicitud deberá indicarse la denominación, conforme al estándar establecido por cada oficina11.";Alta;Qué características debe cumplir la representación gráfica de una marca denominativa?;La representación gráfica de una marca denominativa no versa sobre cómo se aprecia el elemento denominativo gráficamente, sino en cómo se lee, se pronuncia y en la connotación, significado o sentido que dota al producto o servicio al que se aplica.;29;83
"Las oficinas de propiedad industrial de Bolivia, Ecuador y Perú consideran que las letras y tipografía de la marca denominativa deberán ser caracteres latinos, pudiendo ser incluidos signos de puntuación o diacríticos y, si incluye números, estos deberán ser romanos o arábigos. La oficina de Colombia, por su parte, admite que puede registrarse como una marca denominativa un signo que contenga, total o parcialmente, caracteres no latinos o números no arábigos o romanos, a condición de que se presente por parte del solicitante una transliteración o una traducción de ese contenido a caracteres latinos o números arábigos.

Ejemplos de representación gráfica de una marca denominativa:

DOÑA GUSTA 212

AVÍCOLA SOFÍA GÜITIG POSTOBÓN

	Marcas figurativas.";Alta;Se permite el registro de marcas denominativas que incluyan números no arábigos o romanos en las oficinas de propiedad industrial de Colombia?;No, NO INFORMATION.;42;5
"Marcas figurativas.

Son las marcas que se componen exclusivamente de imágenes, figuras, símbolos, gráficos, logotipos, monogramas, retratos, etiquetas, emblemas y escudos, no contando con ningún tipo de leyenda, palabra, número o elemento alfabético.

La marca figurativa cuenta con caracteres, estilización o disposición especial que exaltan una característica gráfica, diseños, dibujos o elementos de ornato.

Como característica principal, éstas no pueden ser pronunciadas o leídas, aunque pueden representar o conceptualizar una idea, es decir, algo ya existente en la naturaleza o creado por el hombre, o bien, puede estar conformada por una serie o conjunto de líneas, curvas, o garabatos que no representen ningún concepto.";Alta;Puedes leer y pronunciar un logotipo?;No. Las marcas figurativas como los logotipos, no pueden ser pronunciadas o leídas, aunque pueden representar o conceptualizar una idea.;15;46
"En Perú, por ejemplo, el Instituto Nacional de Defensa de la Competencia y de la Protección de la Propiedad Intelectual (en adelante INDECOPI) concedió la siguiente marca:12

12

La representación gráfica de este tipo de marcas requiere plasmar el elemento figurativo en el apartado correspondiente de la solicitud. En términos generales se pueden aceptar fotografías, dibujos, caricaturas, isotipos como representación gráfica.

En Ecuador fue concedida la marca figurativa Diseño de Onda, representada gráficamente así13:";Alta;Qué tipo de elementos gráficos se pueden utilizar para representar marcas en un proceso de solicitud?;"Según el contexto proporcionado, los siguientes tipos de elementos gráficos se pueden utilizar para representar marcas en un proceso de solicitud:

* Fotografías
* Dibujos
* Caricaturas
* Isotipos

Esto se menciona explícitamente en el apartado correspondiente del contexto.";33;99
"Adicionalmente, en caso de que el solicitante desee reivindicar colores dentro de la marca figurativa, así deberá indicarlo. A título de ejemplo, en Colombia, Google LLC solicitó ante la SIC el registro de la siguiente marca figurativa, con reivindicación de los colores Rojo, Azul oscuro, Azul claro, Amarillo, Verde14:

	Marcas mixtas.

Son marcas que se componen por la combinación de elementos denominativos y figurativos. Las marcas mixtas cuentan con elementos pronunciables, en tanto que

13

integren en su conjunto elementos nominativos acompañados de colores, diseños y/o gráficos.";Alta;Qué tipo de marca debe indicar el solicitante si desea reivindicar colores dentro de la marca figurativa?;La respuesta es: Marca mixta.;34;12
"Así lo ha reconocido el TJCA: “Las marcas mixtas se componen de un elemento denominativo (una o varias palabras) y un elemento gráfico (una o varias imágenes). La combinación de estos elementos, al ser apreciados en su conjunto, produce en el consumidor una idea sobre la marca que le permite diferenciarla de las demás existentes en el mercado15”.

Por ejemplo, encontramos la marca mixta Grissly (y diseño), que fue concedida por el Instituto Ecuatoriano de la Propiedad Intelectual (hoy Servicio Nacional de Derechos Intelectuales – SENADI) 16:

El SENADI concedió registro de la marca mixta Netlife17:

Por su parte, la siguiente marca mixta Alicorp fue renovada en el Perú por el INDECOPI18:";Alta;Qué elementos componen una marca mixta?;Una marca mixta se compone de dos elementos principales: un elemento denominativo (una o varias palabras) y un elemento gráfico (una o varias imágenes). Esta combinación de elementos crea una idea única en el consumidor, lo que le permite diferenciar la marca de las demás existentes en el mercado.;14;99
"Para efectos de determinar cómo debe cumplirse el requisito de la representación gráfica en este tipo de marcas, es importante tener en cuenta el alcance de la protección que otorga el registro de una marca mixta. En palabras del TJCA, “La marca mixta es una unidad, en la cual se ha solicitado el registro del elemento nominativo como el gráfico,

14

como uno solo. Cuando se otorga el registro de la marca mixta se la protege en su integridad y no a sus elementos por separado19” (negrillas fuera del texto original).";Alta;Cuál es el alcance de la protección que otorga el registro de una marca mixta?;La protección que otorga el registro de una marca mixta es en su integridad, no a sus elementos por separado.;29;35
"En ese entendido, la solicitud de registro de la marca mixta debe acompañarse de la reproducción de esta, de manera que se aprecien tanto los elementos denominativos como los gráficos que la conforman. En adición, tal como se indicó para las marcas figurativas, en caso de que el solicitante desee reivindicar colores dentro de la marca mixta, así deberá indicarlo, e igualmente, el elemento gráfico de la marca mixta puede estar compuesto por fotografías, dibujos, caricaturas o isotipos como representación gráfica.

A título de ejemplo, tenemos la siguiente marca mixta, registrada por la SIC a favor de Mercado Libre, INC20, en la cual el solicitante no presentó reivindicación de colores:";Alta;Es necesario acompañar una solicitud de registro de marca mixta con la reproducción de esta para que se aprecien tanto los elementos denominativos como los gráficos que la conforman?;Sí, es necesario. La solicitud de registro de la marca mixta debe acompañarse de la reproducción de esta, de manera que se aprecien tanto los elementos denominativos como los gráficos que la conforman.;58;67
"Por su parte, en Perú, el INDECOPI concedió el registro de la marca mixta Mercado Libre en la cual el solicitante sí reivindicó colores21:

	Marcas no tradicionales.

Los gustos y necesidades específicas del consumidor cambian con el tiempo, por ello, los fabricantes, comerciantes y oferentes de productos y servicios utilizan formas de hacerse notar y ser preferidos por parte del público consumidor de manera distinta a lo habitual, evolucionando sus estrategias de marketing, branding, posicionamiento, etc., y para ello, las marcas se han convertido en el vehículo necesario que permite establecer este vínculo entre oferente y consumidor.";Alta;Qué tipo de marca es Mercado Libre según su registro?;Mercado Libre es una marca mixta.;19;12
"Surge así, una nueva gama o tipo de marcas que, a través de formas disruptivas y no tradicionales, buscan atraer la atención del público consumidor, y obtener su preferencia,

15

pero también su permanencia y fidelidad, ante el universo de posibilidades contra las que hoy por hoy compiten en el mercado y que son llamadas marcas no tradicionales22.";Alta;Qué tipo de marcas buscan atraer la atención del público consumidor mediante formas disruptivas y no tradicionales?;Las marcas no tradicionales.;40;9
"La DA 486 no contempla específicamente la clasificación de marcas tradicionales y no tradicionales, pero el artículo 134 indica expresamente que podrán constituir marcas los sonidos y olores, y deja abierta una ventana de posibilidades, al indicar que, “podrán constituir marcas, entre otros, los siguientes signos…”. En esa línea, es claro que dentro del sistema de protección de la CAN se encuentran las denominadas marcas no tradicionales que, si bien, algunas no pueden ser apreciadas por el sentido de la vista, sí pueden ser perceptibles por los otros sentidos (olfato, tacto, gusto y oído); y, por ende, son susceptibles de identificación y diferenciación.

	Marcas tridimensionales.";Alta;Pueden constituir marcas signos que no pueden ser apreciados por el sentido de la vista?;Sí, es posible. El artículo 134 del DA 486 deja abierta una ventana de posibilidades para considerar como marcas otros signos distintos a los visuales, incluyendo aquellos que no pueden ser apreciados por el sentido de la vista pero sí por otros sentidos como el olfato, tacto, gusto y oído.;27;102
"22 Las marcas no tradicionales, a que hacemos referencia, fueron identificadas por la mayoría de países miembros de la Organización Mundial de Propiedad Intelectual (OMPI 2007) bajo la indicación de “nuevos tipos de marcas”, siendo en la decimoséptima sesión a través del Comité Permanente sobre el Derecho de Marcas, Diseños Industriales e Indicaciones Geográficas (en adelante también el SCT) que dicho concepto evolucionó, y se buscó además, establecer un consenso multilateral en donde los países participantes deliberaran y expusieran sus múltiples experiencias en cuanto a la inscripción y forma gráfica en que éstas podían ser representadas y es así como tenemos hoy en día un nuevo catálogo de posibilidades que escapa a lo tradicional.

16";Alta;"""Cuál fue el resultado del consenso multilateral alcanzado por los países participantes en la decimoséptima sesión del Comité Permanente sobre el Derecho de Marcas, Diseños Industriales e Indicaciones Geográficas?""";El resultado del consenso multilateral alcanzado por los países participantes en la decimoséptima sesión del Comité Permanente sobre el Derecho de Marcas, Diseños Industriales e Indicaciones Geográficas fue un nuevo catálogo de posibilidades para las marcas no tradicionales.;70;89
"16

Por su parte, el SENADI, en Ecuador, concedió esta marca tridimensional para identificar productos de la clase 3:25";Alta;A qué clase corresponde la marca tridimensional registrada?;La marca tridimensional registrada corresponde a la clase 3.25.;17;19
Asimismo, existen marcas tridimensionales que no necesariamente constituyen la forma del producto o su envase, como es el caso del logotipo de la marca Mercedes-Benz que se aprecia en la parte delantera de sus vehículos, así como marcas tridimensionales que no pretenden distinguir productos sino servicios, como ocurría con la forma de las edificaciones de los restaurantes Pizza Hut o con otros elementos que pueden utilizarse para identificar la prestación del servicio, como por ejemplo la forma particular de la siguiente estructura que identifica las estaciones de servicio de Terpel y que fue concedida por la SIC para identificar productos de las clases 1 y 4 y servicios de las clases 35 y 3726:;Alta;Se pueden registrar patentes para logotipos o marcas tridimensionales que no representen directamente el producto o servicio?;Sí, se puede registrar patente para logotipos o marcas tridimensionales que no representen directamente el producto o servicio. Por ejemplo, el logotipo de Mercedes-Benz y la forma particular de las estaciones de servicio de Terpel son ejemplos de esto.;34;77
"17

La razón por la que las marcas tridimensionales se siguen considerando como no tradicionales, pese a que se utilizan en el mercado cada vez con más frecuencia y a que actualmente abundan las solicitudes y los registros de estas marcas en las oficinas de propiedad industrial, es por su representación gráfica, pues cada oficina ha establecido la forma en que, según su entender, dicha representación permite definir con claridad las particularidades de la marca.";Alta;Por qué se consideran como no tradicionales las marcas tridimensionales?;La razón por la cual se consideran como no tradicionales las marcas tridimensionales es su representación gráfica, ya que cada oficina ha establecido la forma en que permite definir con claridad las particularidades de la marca.;22;68
"Por ejemplo, las oficinas pueden requerir la presentación de imágenes, ya sea a través de dibujos o fotografías, que permitan apreciar de manera suficiente los detalles de la marca, como la que corresponde al ejemplo anterior, o también podrá requerirse que el solicitante proporcione imágenes de diferentes vistas o planos de la forma tridimensional, como en el siguiente caso28:

En todo caso, también es posible que la oficina solicite una descripción de la marca mediante palabras y/o una muestra de la forma objeto de la solicitud de registro a efectos de conocer los detalles del signo.

18

	Marcas de color.";Alta;Se requiere presentar imágenes de diferentes vistas o planos de la forma tridimensional para registrar una marca?;NO, se requieren imágenes de diferentes vistas o planos de la forma tridimensional. El contexto menciona que es posible que la oficina solicite estas imágenes, pero no dice que sean obligatorias. De hecho, el texto establece que las oficinas pueden requerir la presentación de imágenes a través de dibujos o fotografías para apreciar los detalles de la marca, lo cual sugiere que no es necesario presentar vistas tridimensionales.;34;143
"18

	Marcas de color.

Son marcas que se componen por un color delimitado por una forma o una combinación de colores. En este sentido, el TJCA ha establecido que: ""La norma comunitaria, específicamente el literal e) del artículo 134 de la Decisión 486, prevé el registro de un color delimitado por una forma o una combinación de colores, es decir, que cuando el mismo se encuentra comprendido en una silueta o trazo puede acceder al registro como marca, siempre que éste no caiga en alguna otra causal de irregistrabilidad”29.

La representación gráfica de este tipo de marcas, podría efectuarse a través de una representación pictórica del color, delimitado por una forma que sea precisa e inequívoca.";Alta;Puede un color delimitado por una forma o una combinación de colores ser registrado como marca?;Sí, según el contexto proporcionado, un color delimitado por una forma o una combinación de colores puede ser registrado como marca siempre que se cumplan ciertas condiciones y no caiga en alguna otra causal de irregistrabilidad.;32;80
Adicionalmente, las oficinas también podrán solicitar una descripción del color, así como el código de identificación reconocido internacionalmente, que permita establecer con claridad, esto es, determinar de forma precisa el color objeto de la solicitud de registro. Para el efecto podrán usarse clasificaciones como Pantone, Focoltone o RGB.;Alta;Qué tipo de clasificaciones internacionales se pueden utilizar para describir y codificar colores en un proceso de registro?;Clasificaciones internacionales que se pueden usar para describir y codificar colores son Pantone, Focoltone o RGB.;39;35
